Name,GWEIGHT,G0.05,G0.1,G0.15,G0.2,G0.25,G0.3,N0.05,N0.1,N0.15,N0.2,N0.25,N0.3,P0.05,P0.1,P0.15,P0.2,P0.25,P0.3,S0.05,S0.1,S0.15,S0.2,S0.25,S0.3,L0.05,L0.1,L0.15,L0.2,L0.25,L0.3,U0.05,U0.1,U0.15,U0.2,U0.25,U0.3
CFT1       : mRNA polyadenylylation* ,1,0.25,0.19,0.15,0.1,-0.15,-0.21,0.48,0.37,0.11,-0.19,-0.21,-0.14,0.12,0.09,-0.08,-0.28,-0.14,-0.07,0.08,0.36,0.11,0.01,0.08,-0.05,0.44,0.38,0.16,0.11,-0.12,-0.15,0.76,0.1,-0.09,-0.05,-0.13,-0.18
NVJ1       : microautophagy ,1,0.4,0.29,0.18,0.2,-0.25,-0.33,0.59,0.38,0.26,0.1,-0.11,-0.38,0.24,0.1,0.02,0.06,-0.01,-0.48,-0.17,0.22,-0.18,-0.02,-0.13,-0.21,0.39,0.43,0.01,-0.07,-0.29,-0.18,0.75,0.43,0.08,-0.03,-0.17,-0.13
YRA1       : mRNA-nucleus export ,1,0.23,0.42,0.12,0.04,-0.24,-0.13,0.93,0.59,0.36,0.31,0.18,-0.29,-0.02,0.24,0.47,0.18,0.24,-0.26,-0.25,-0.09,-0.42,-0.21,-0.07,-0.12,0.3,0.27,0.3,0.14,0.07,0.08,0.98,0.34,0.03,0.26,-0.07,-0.19
OPY2       : cell cycle arrest in response to pheromone ,1,1.07,0.4,0.55,0.57,0.05,0.07,1.28,0.78,-0.06,-0.23,-0.19,0.02,0.2,0.2,0.22,0.27,0.39,0.16,-0.35,0.45,-0.05,-0.14,-0.3,-0.3,0.73,0.08,0.44,0.16,-0.02,-0.17,1.61,0.61,0.04,-0.07,-0.24,-0.18
          : biological process unknown ,1,0.31,0.1,0.14,0.13,-0.04,-0.08,0.59,0.85,-0.24,0.02,-0.2,0.06,0.32,0.08,-0.36,-0.3,-0.31,-0.06,0.02,-0.21,-0.15,0.09,-0.04,0.05,0.59,0.42,0.38,0.33,0.04,-0.09,1.13,0.41,-0.09,-0.06,0.15,0.04
KEX1       : protein processing ,1,0.03,-0.35,0.13,-0.08,0.01,-0.07,0.78,0.68,-0.06,-0.18,0.09,0.21,0.25,0.1,-0.15,-0.09,0.04,0.36,-0.12,-0.18,-0.4,-0.37,-0.38,-0.25,0.11,-0.25,-0.07,-0.07,0.07,-0.13,0.57,-0.11,-0.06,-0.12,0.12,0.15
MEP1       : ammonium transport ,1,0.32,-0.23,0.24,0.06,-0.14,-0.22,2.88,2.32,0.98,0.74,0.46,0.6,0.83,0.65,0.14,0.27,-0.22,-0.12,0.15,-0.05,-0.93,-0.57,-0.78,-0.46,-0.44,-0.58,-0.46,-0.54,-0.69,-0.95,1.42,-0.01,-0.3,-0.12,0.11,0.18
SSN3       : protein amino acid phosphorylation* ,1,-0.23,-0.22,-0.25,-0.08,-0.12,-0.16,0.58,0.54,-0.02,-0.3,-0.33,-0.19,0.15,-0.03,-0.01,-0.15,-0.11,0.09,0.36,0.41,-0.04,-0.09,-0.15,-0.04,-0.07,-0.03,0.02,NA,-0.11,-0.24,0.58,0.27,-0.04,-0.2,0,-0.17
SPC72      : mitotic sister chromatid segregation* ,1,0.16,0.03,-0.25,-0.48,-0.18,-0.11,0.49,0.43,0.4,0.15,0.11,-0.2,0.47,0.35,-0.05,-0.17,-0.26,-0.17,0.86,0.16,0,0,0,-0.11,0.21,-0.07,-0.06,-0.07,-0.14,-0.17,1.22,-0.01,-0.21,-0.17,-0.14,-0.18
MSS4       : sporulation (sensu Fungi)* ,1,0.3,0.33,0.16,0.01,-0.08,-0.2,0.92,0.81,0.4,0.11,-0.03,0.02,0.34,0.36,0.01,0.21,0.02,-0.05,0.15,0.37,0.07,0.06,-0.09,-0.04,0.31,0.12,0.08,-0.07,-0.22,-0.36,1.16,-0.08,-0.28,-0.13,-0.15,-0.29
PKH3       : MAPKKK cascade during cell wall biogenesis ,1,0.18,0.22,0.31,0.3,0.03,-0.13,0.8,0.34,-0.23,-0.18,-0.07,-0.17,0.63,0.54,0.19,0.2,-0.14,-0.27,0.52,0.16,0.1,0.03,-0.22,-0.06,0.4,0.01,0.07,-0.23,-0.21,-0.31,0.82,-0.06,-0.07,-0.04,-0.08,-0.28
          : biological process unknown ,1,0.32,0,0.11,0.37,0.01,0.05,0.72,0.36,0.01,-0.1,-0.2,0.01,0.52,0.36,-0.07,0.04,-0.2,0.17,0.27,0.18,0.11,0.21,-0.07,0.12,0.6,0.14,-0.1,-0.13,-0.05,-0.16,1.01,-0.02,-0.1,-0.28,-0.01,-0.04
SCC4       : sister chromatid cohesion* ,1,0.39,0.48,0.09,-0.07,-0.03,-0.04,1.03,0.49,-0.42,-0.43,-0.52,-0.35,0.48,0.4,0.07,-0.03,-0.17,0.04,0.45,0.44,0.02,0.13,-0.11,0.12,0.74,0.19,0.02,0.07,-0.04,-0.07,1.13,-0.03,-0.13,-0.17,-0.36,-0.1
SSO1       : vesicle fusion* ,1,0.2,0.14,0.51,0.35,-0.24,-0.26,0.66,0.07,-0.12,-0.4,-0.32,-0.3,0.05,0.12,0.12,-0.06,0.07,-0.44,1.06,0.14,-0.09,-0.19,-0.08,-0.33,0.06,-0.16,-0.06,-0.19,-0.17,-0.13,1.06,0.1,0.01,0.06,-0.26,-0.29
"SNU71      : nuclear mRNA splicing, via spliceosome ",1,0.2,0.05,-0.02,-0.24,-0.04,-0.17,1.3,0.54,-0.32,-0.54,-0.15,-0.08,0.12,0.37,0.01,0.07,-0.02,-0.45,0.79,0.21,0.13,-0.18,-0.12,-0.37,0.28,-0.17,-0.14,-0.06,0.15,-0.22,1.19,-0.03,0.2,-0.05,-0.2,-0.11
FKH2       : pseudohyphal growth* ,1,-0.1,-0.27,0,-0.11,0,-0.02,0.97,0.66,-0.03,-0.42,-0.14,-0.01,0.26,0.31,-0.07,-0.06,-0.21,-0.24,0.48,0,-0.14,-0.14,-0.13,-0.08,0.06,-0.37,-0.1,-0.35,-0.09,-0.17,0.98,0.07,0.08,-0.1,-0.06,-0.2
TDP1       : DNA repair ,1,0.26,0.15,0.18,0.24,-0.33,-0.1,1.31,0.94,0.09,-0.51,-0.47,-0.27,0.35,-0.16,-0.19,-0.32,-0.31,-0.5,0.48,0.38,-0.2,-0.12,-0.35,-0.18,0.21,-0.14,-0.21,-0.34,-0.21,0.04,1.87,0.45,0.1,-0.3,-0.19,-0.17
ELP4       : regulation of transcription from RNA polymerase II promoter ,1,0.19,0,0.02,0.06,-0.2,-0.16,0.92,0.74,0.07,-0.43,-0.39,-0.22,0,0.14,-0.06,-0.4,-0.2,-0.29,0.51,0.49,-0.01,-0.05,-0.15,-0.18,0.07,-0.28,-0.03,-0.18,-0.41,-0.14,1.13,0.07,-0.19,-0.35,-0.25,-0.28
REG1       : negative regulation of transcription from RNA polymerase II promoter* ,1,0.09,-0.11,0.09,0.09,-0.22,-0.43,1.19,0.51,-0.14,-0.72,-0.43,-0.52,0.25,0.45,0.14,-0.06,-0.24,-0.55,0.86,0.35,-0.01,-0.17,-0.23,-0.46,0.43,-0.34,-0.25,-0.58,-0.47,-0.53,1.12,-0.3,-0.18,-0.35,-0.53,-0.59
GYP5       : ER to Golgi transport* ,1,0.15,-0.3,-0.15,-0.05,-0.39,-0.38,1.1,0.57,0.16,-0.1,-0.17,-0.48,0.64,0.54,0.46,0.21,0,-0.55,1.07,0.17,-0.26,-0.32,-0.18,-0.36,0.37,-0.06,-0.12,-0.33,-0.26,-0.27,0.87,-0.05,-0.16,-0.3,-0.28,-0.39
TFA1       : transcription initiation from RNA polymerase II promoter ,1,-0.07,-0.11,-0.17,-0.04,-0.32,-0.22,0.96,0.54,-0.04,-0.3,-0.28,-0.36,0.37,0.59,0.35,0.21,0.22,-0.09,1.38,0.06,-0.21,-0.19,-0.32,-0.26,-0.01,-0.19,-0.27,-0.35,-0.24,-0.28,0.92,-0.12,-0.04,-0.29,-0.2,-0.16
          : biological process unknown ,1,-0.17,0.07,0.17,0.16,-0.21,-0.26,2.29,1.73,0.16,-0.06,-0.29,-0.07,-0.39,-0.2,0.11,0.13,0.06,-0.34,2.46,0.7,0.36,-0.23,-0.04,-0.34,0.17,-0.21,0.25,0,0.12,-0.46,1.12,0.24,0.34,-0.17,0.03,0.09
"KIP2       : nuclear migration, microtubule-mediated* ",1,-0.18,-0.01,0.13,0.25,-0.03,-0.28,1.82,1.5,-0.2,0.37,0.22,0.18,-0.13,0.13,-0.06,-0.27,0.21,-0.4,0.91,0.59,0.05,0.02,-0.04,-0.29,0.03,0.02,0.39,0.11,-0.13,-0.12,NA,0.01,-0.17,-0.19,-0.53,-0.39
PHD1       : pseudohyphal growth ,1,-0.15,-0.16,0.15,0.24,0.14,-0.1,1.96,1.74,0.55,0.31,0.43,0.51,-0.03,0.26,-0.04,-1.45,0.2,-0.24,0.98,0.63,0.01,-0.01,-0.13,0.11,0.16,0.12,0.26,0.02,-0.01,-0.24,1.12,0.45,0.28,-0.09,0.08,-0.01
ENT5       : Golgi to endosome transport* ,1,0.04,-0.22,0.06,0.06,0.02,0.06,0.96,0.8,0.05,0.16,0.13,0.12,0.24,0.14,-0.07,-0.33,-0.3,-0.23,0.65,0.06,-0.11,-0.09,-0.06,-0.23,0.16,0,0.12,-0.04,-0.09,0,1.19,0.32,0.08,0.05,0.11,0.07
CDC12      : cell wall organization and biogenesis* ,1,0.11,-0.06,-0.09,-0.04,0.06,0.09,0.99,0.93,0.21,0.12,0.21,0.21,0,0.34,-0.06,-0.13,-0.04,-0.3,0.49,0.1,-0.07,-0.08,0.03,-0.17,0.27,0.21,0.29,0.08,0.12,0.17,1.12,0.15,0.13,0.17,0,0
CTR9       : transcription from RNA polymerase II promoter* ,1,0.14,-0.04,0.25,0.07,0.04,-0.1,0.71,0.92,0.38,0.45,0.2,-0.06,0.2,0.42,0.27,0.07,0.07,-0.28,0.63,0.21,-0.04,-0.15,0.03,-0.17,0.08,0.11,-0.09,-0.11,-0.02,-0.03,0.67,-0.1,-0.1,-0.03,-0.05,-0.15
BDF1       : DNA repair* ,1,-0.28,-0.07,0.07,0.03,-0.33,-0.38,1.03,0.78,0.32,0.27,-0.03,-0.42,0.09,0.25,0.19,-0.23,0.01,-0.28,1.25,0.32,-0.29,-0.11,0.14,-0.14,0.03,0.11,0.08,-0.09,-0.24,-0.17,0.91,-0.19,-0.13,0.03,-0.32,-0.5
MYO1       : response to osmotic stress* ,1,-0.18,-0.14,0.38,0.18,-0.2,-0.48,0.92,0.79,0.7,0.55,0.3,-0.29,-0.03,0.07,0.1,-0.12,-0.04,-0.26,1,0.77,0.17,0.27,0.45,0.09,-0.08,0.18,-0.1,-0.15,-0.31,-0.24,1,-0.05,-0.09,-0.2,-0.38,-0.34
          : biological process unknown ,1,-0.01,0.06,0.06,0.14,0.09,0.04,0.55,0.42,0.22,0.23,-0.05,0.05,0.16,0.12,0.07,-0.07,-0.09,-0.13,0.41,0.3,0.09,-0.03,0.1,-0.11,-0.05,-0.11,-0.29,-0.02,0.03,0.02,0.28,-0.21,-0.05,-0.13,-0.04,0
SPT10      : chromatin remodeling* ,1,0.2,0.11,0.39,0.33,0.27,-0.01,1.12,0.11,0.14,-0.14,0.16,-0.05,0.06,0.12,-0.07,NA,0.07,NA,NA,0.24,0.13,-0.01,NA,-0.1,0.09,0.07,-0.12,0.02,-0.32,NA,NA,NA,-0.05,-0.19,0.01,0.07
SAP155     : G1/S transition of mitotic cell cycle ,1,0.09,0.01,0.35,0.32,0.09,-0.33,0.55,0.26,0.18,0.06,-0.15,-0.31,0.17,0.12,-0.02,0.16,-0.15,-0.51,0.18,0.3,-0.01,0,-0.08,-0.05,0.17,0.02,-0.02,-0.16,-0.15,-0.29,0.07,-0.12,-0.18,-0.06,-0.22,-0.23
ESC1       : chromatin silencing at telomere ,1,0.65,-0.04,0.67,0.45,0.14,-0.11,1.48,1,0.17,0.33,0.32,-1.15,0.26,0.02,-0.12,-0.35,-0.57,-0.89,0.46,0.26,0.07,-0.03,0,-0.32,0.39,0.14,0.22,0.02,0,-0.21,0.6,0.15,0.07,-0.11,-0.17,-0.37
MHP1       : cell wall organization and biogenesis* ,1,0.42,0.12,0.9,0.78,-0.02,-0.37,1.02,0.6,-0.29,-0.33,-0.57,-0.45,0.53,0.32,-0.13,-0.05,-0.39,-0.81,0.19,0.56,-0.19,-0.07,-0.15,-0.2,0.24,-0.04,0.11,-0.12,-0.06,-0.02,0.54,0.48,0.17,0.09,-0.01,0.02
SSD1       : cell wall organization and biogenesis ,1,0.65,0.26,0.52,0.49,0.07,0.05,1.63,0.91,-0.18,-0.14,-0.37,0.07,0.43,0.12,-0.12,-0.16,-0.28,-0.37,-0.05,0.41,-0.38,0.01,-0.12,0.03,0.07,0.16,0.03,0.01,0.01,-0.13,0.13,0.65,0.29,-0.21,0.2,0.29
SSA1       : protein folding* ,1,1.34,0.22,0.29,0.94,0.45,-0.07,3.27,1.54,-0.58,-0.72,-0.6,-0.12,0.91,0.69,-0.32,-0.51,-0.02,-0.49,0.61,-0.05,-0.62,-0.69,-0.66,-0.77,1.36,0.37,0.14,-0.48,-0.47,-0.64,0.76,0.62,0.33,-0.55,-0.46,-0.36
          : biological process unknown ,1,0.48,0.14,0.23,0.12,0.01,-0.12,0.99,0.45,-0.28,-0.22,-0.3,-0.32,0.46,0.23,0.06,0.08,-0.13,-0.33,0.11,-0.03,-0.32,-0.37,-0.37,-0.4,0.43,0.3,0.11,-0.08,-0.16,-0.32,0.03,-0.05,0.06,-0.19,-0.05,-0.23
FZO1       : mitochondrion organization and biogenesis* ,1,0.13,-0.01,-0.01,0.19,0.12,0.04,0.58,0.28,-0.07,-0.07,-0.02,-0.14,0.13,0.29,0.05,-0.04,-0.15,-0.17,0.15,0.01,0,-0.11,-0.09,-0.22,0.17,0.04,0.06,-0.13,-0.2,-0.04,0.35,-0.33,-0.28,-0.18,-0.28,-0.36
COS111     : signal transduction ,1,0.16,0.49,0.49,0.61,0.4,-0.46,1.62,1.35,1.03,0.29,0.11,-0.53,-0.05,0.1,0.26,0.4,-0.21,-0.36,-0.26,0.17,-0.64,-0.61,-0.81,-0.6,0.33,0.01,-0.16,-0.76,-0.96,-1.31,0.83,0.11,-0.35,-1.24,-1.08,-1.26
GAC1       : meiosis* ,1,0.33,-0.12,0.23,0.69,0.51,-1.25,1.73,1.21,0.77,0.31,-0.37,-1.22,0.2,-0.12,-0.63,-0.43,-0.96,-1.51,-0.8,-0.34,-1.81,-1.71,-1.81,-2.11,-0.37,-0.56,-0.77,-1.21,-1.93,NA,1.16,0.58,-0.86,-1.93,-1.72,NA
DNM1       : mitochondrion organization and biogenesis* ,1,0.19,0.14,0.06,0.21,0.19,-0.23,0.24,0.32,0.11,-0.27,-0.49,-1.34,0.21,0.14,0.06,-0.19,-0.32,-0.4,0.41,0.08,-0.18,-0.21,-0.18,-0.33,-0.1,-0.18,-0.21,-0.34,-0.36,-0.47,0.59,-0.19,-0.35,-0.45,-0.51,-0.49
XKS1       : xylulose catabolism ,1,0.01,-0.16,0.23,0.54,-0.03,-0.48,0.71,0.36,-0.29,-0.48,-0.61,-0.85,0.14,0.37,0.13,-0.31,-0.33,-0.73,0.45,0.02,-0.26,-0.25,-0.22,-0.45,0.11,-0.12,-0.07,-0.41,-0.67,-0.59,0.72,0.09,-0.26,-0.16,-0.53,-0.69
          :  ,1,0.77,0.58,-0.12,-0.15,-0.89,-0.91,1.74,1.35,0.45,-0.17,-0.65,-0.94,0.57,0.34,-0.33,-0.12,-1.05,-1.01,-0.36,0.89,-0.4,-0.26,-0.74,-0.58,0.96,-0.15,-0.19,-0.55,-0.99,-1.04,1.83,-0.37,-0.57,-0.95,-0.78,-1.01
SPT7       : protein complex assembly* ,1,0.06,-0.05,0.02,-0.03,-0.16,-0.16,0.46,0.28,0.14,0.09,-0.04,-0.27,0.31,0.21,0.03,0.07,-0.22,-0.43,-0.14,0.08,-0.12,-0.03,-0.09,-0.1,0.22,0.13,-0.12,-0.19,-0.18,-0.26,0.32,-0.3,-0.25,-0.22,-0.18,-0.26
SLX4       : DNA replication* ,1,0.15,-0.19,-0.18,-0.22,-0.38,-0.46,0.65,0.36,0.22,0.16,0.01,-0.54,0.35,0.29,0.26,0.04,-0.04,-0.5,-0.05,0.14,0,-0.04,-0.04,-0.26,0.36,0.03,-0.21,-0.33,-0.41,-0.51,0.15,-0.22,-0.1,-0.21,-0.42,-0.65
APN2       : DNA repair ,1,0.26,0.09,-0.38,-0.28,-0.46,-0.6,0.8,0.57,0.56,0.28,-0.25,-0.69,0.51,0.5,0.15,-0.01,-0.28,-0.46,0.77,0.32,-0.31,-0.24,-0.3,-0.47,-0.06,-0.08,-0.5,-0.43,-0.61,-0.49,0.53,0.17,-0.37,-0.61,-0.64,-0.63
MAD3       : mitotic spindle checkpoint ,1,0,-0.19,-0.32,-0.15,-0.19,-0.34,0.41,0.37,0.27,0.1,0.04,-0.4,0.39,0.28,0.01,-0.07,-0.17,-0.32,0.21,0.15,-0.05,-0.1,-0.09,-0.21,0.07,0.13,0.09,-0.01,0.03,-0.1,0.35,-0.01,-0.04,0.01,-0.24,-0.25
ZDS2       : establishment of cell polarity (sensu Fungi)* ,1,0.09,-0.12,-0.45,-0.44,0.03,-0.09,0.9,0.56,-0.1,-0.42,-0.21,-0.26,0.38,0.52,0.23,0.03,0.05,0.19,0.34,-0.08,-0.16,-0.2,-0.15,-0.29,0.07,-0.21,-0.05,-0.07,-0.28,-0.13,1.17,-0.36,-0.42,-0.3,-0.5,-0.41
APL3       : vesicle-mediated transport ,1,-0.06,-0.2,-0.1,0.21,0.17,-0.12,0.95,0.48,0.1,-0.21,-0.06,0.05,0.1,0.19,0.03,0.09,0.03,0.07,-0.09,-0.36,-0.38,-0.19,-0.21,-0.1,-0.04,0.18,-0.02,-0.07,-0.22,-0.15,0.41,-0.25,-0.21,-0.39,-0.34,-0.27
          : biological process unknown ,1,-0.05,-0.12,-0.1,-0.1,-0.25,-0.38,1.65,0.79,-0.07,-0.36,-0.18,-0.11,0.6,0.57,0.18,0.01,-0.19,0.02,-0.2,0.03,-0.19,-0.28,-0.3,-0.55,0.3,-0.32,-0.1,-0.25,-0.2,-0.13,0.08,-0.44,-0.53,-0.33,-0.5,-0.32
OSH2       : steroid biosynthesis ,1,-0.27,-0.46,-0.24,-0.04,-0.28,-0.45,0.69,0.3,-0.41,-0.66,-0.58,-0.67,0.38,0.18,0.07,0.1,-0.02,0.01,-0.38,-0.28,-0.62,-0.46,-0.51,-0.55,0.06,-0.34,-0.21,-0.44,-0.47,-0.46,0.5,-0.51,-0.42,-0.46,-0.49,-0.54
MSC3       : meiotic recombination ,1,0.2,-0.4,-0.26,-0.1,-0.29,-0.44,1.35,0.76,-0.38,-0.65,-0.53,-0.27,0.38,0.33,0.13,0.15,0.03,0.06,-0.19,-0.14,-0.46,-0.27,-0.41,-0.37,-0.21,-0.65,-0.55,-0.59,-0.44,-0.33,0.29,0.02,-0.37,-0.48,-0.42,-0.34
EDE1       : endocytosis ,1,-0.37,-0.4,-0.13,0.12,-0.11,-0.42,0.75,0.43,-0.34,-0.72,-0.43,-0.25,-0.03,0.18,-0.01,0.48,0.18,0.13,0.18,-0.18,-0.26,-0.22,-0.34,-0.18,0.04,-0.38,-0.32,-0.53,-0.36,-0.38,0.64,-0.12,-0.25,-0.47,-0.42,-0.33
SLA1       : cell wall organization and biogenesis* ,1,-0.02,-0.36,0.14,-0.01,-0.21,-0.44,1.27,0.78,-0.35,-0.72,-0.28,-0.4,-0.05,0.09,0.15,0.33,0.03,-0.11,-0.08,-0.4,-0.52,-0.3,-0.44,-0.44,0.33,-0.15,-0.14,-0.42,-0.38,-0.3,0.87,-0.15,-0.27,-0.36,-0.27,-0.49
STH1       : meiosis* ,1,-0.27,-0.12,0.05,-0.01,-0.27,-0.26,0.98,0.68,-0.08,-0.12,-0.21,-0.14,0.21,0.33,0.27,0.14,0.13,-0.4,0.27,0.16,-0.22,-0.18,-0.13,-0.28,-0.05,-0.2,-0.32,-0.51,-0.39,-0.32,0.37,0.1,-0.02,-0.3,-0.41,-0.23
MPS3       : mitotic sister chromatid cohesion* ,1,-0.26,-0.08,-0.35,-0.29,-0.59,-0.52,1.22,0.89,0.01,-0.46,-0.23,0.14,-0.03,0.22,0.3,0.23,0.19,-0.29,NA,-0.06,-0.48,-0.63,-0.35,-0.62,-0.3,-0.39,-0.42,-0.26,-0.29,-0.23,NA,-0.2,-0.18,-0.64,-0.35,-0.06
SUM1       : chromatin silencing at telomere* ,1,-0.25,-0.32,-0.08,-0.18,-0.2,-0.24,1.25,0.64,-0.54,-0.55,-0.3,-0.27,-0.1,0.13,-0.11,0.16,-0.18,-0.73,0.38,-0.04,-0.7,-0.44,-0.45,-0.41,-0.36,-0.45,-0.3,-0.49,-0.26,-0.38,0.09,-0.5,-0.27,-0.49,-0.44,-0.23
SWC4       : chromatin remodeling* ,1,-0.13,-0.25,-0.25,-0.29,-0.29,-0.2,0.68,0.28,-0.23,-0.26,-0.29,-0.27,-0.1,0.15,0.17,-0.15,0.13,-0.08,0.32,-0.13,-0.17,-0.23,-0.28,-0.36,-0.2,-0.12,-0.16,-0.32,-0.29,-0.24,0.07,-0.08,-0.23,0,-0.17,-0.27
BNI1       : actin filament organization* ,1,-0.3,-0.2,-0.01,-0.07,-0.25,-0.48,0.48,0.27,-0.01,-0.11,-0.22,-0.43,0.34,0.28,0.27,0.37,0.01,-0.27,0.17,-0.16,-0.17,-0.05,-0.11,-0.14,0.18,-0.02,-0.35,-0.37,-0.4,-0.31,0.76,0.14,-0.09,-0.28,-0.07,-0.3
          : biological process unknown ,1,-0.05,-0.01,0.23,0.1,-0.39,-0.39,0.83,0.68,-0.24,-0.4,-0.37,-0.42,-0.14,0.17,0.24,0.08,0.29,-0.04,0.14,-0.02,0.01,-0.21,-0.02,-0.63,0.23,0.04,0.05,-0.18,-0.51,-0.49,0.97,0.49,-0.06,-0.39,-0.47,-0.38
VPS62      : protein-vacuolar targeting ,1,0.19,0.12,0.09,0.07,-0.21,-0.23,0.88,0.51,-0.17,-0.15,-0.19,-0.08,0.31,0.33,0.1,-0.12,-0.1,-0.09,0.3,0.13,-0.04,-0.31,-0.14,-0.1,0.21,-0.01,0.09,0.03,-0.1,-0.15,-0.01,-0.12,-0.43,-0.34,-1,-0.14
TOK1       : potassium ion homeostasis ,1,-0.14,0,-0.38,-0.08,-0.23,-0.36,0.67,0.45,-0.25,-0.51,-0.42,-0.3,-0.05,-0.04,-0.12,-0.2,-0.39,0.05,-0.34,0.28,-0.09,-0.09,-0.29,-0.07,0.1,-0.05,-0.3,-0.12,-0.14,-0.37,0.53,-0.09,-0.3,-0.51,-0.2,-0.06
          : biological process unknown ,1,0.02,-0.3,-0.38,-0.32,-0.26,-0.2,0.51,0.3,-0.09,-0.1,-0.14,-0.31,-0.06,0.01,-0.22,-0.4,-0.31,-0.11,0.15,-0.13,-0.18,-0.08,-0.02,-0.23,0.16,-0.06,-0.18,-0.12,-0.19,0.04,0.37,-0.29,-0.2,-0.07,-0.17,-0.14
YIP5       : vesicle-mediated transport ,1,-0.02,0.08,-0.09,0.07,-0.04,-0.12,0.36,0.47,0.31,0.1,0.11,0.03,0.04,-0.1,-0.2,-0.21,-0.38,-0.29,-0.06,0.17,-0.13,-0.01,-0.06,0.03,-0.1,-0.06,0.05,0.02,-0.12,-0.02,0.45,0.09,-0.42,-0.26,-0.26,-0.09
PRE4       : ubiquitin-dependent protein catabolism ,1,0.35,0.04,0.01,0.24,0.03,-0.03,-0.01,0.09,0.22,-0.03,0.02,0.14,0.26,0.07,-0.09,-0.2,-0.18,0.02,0.7,-0.27,-0.12,-0.07,-0.1,-0.17,0.27,-0.01,-0.01,-0.17,-0.28,-0.11,0.29,0.39,0.05,-0.04,0.01,-0.02
          : biological process unknown ,1,0.61,0.28,-0.08,0.1,0.16,0.38,0.29,0.41,-0.13,-0.28,-0.49,-0.35,0.13,-0.17,-0.45,-0.59,-0.86,-0.34,1,-0.32,-0.39,-0.42,-0.5,-0.59,0.23,0.22,-0.02,0.12,-0.07,0.21,0.77,-0.43,-0.33,0.09,0.16,0.25
          : biological process unknown ,1,0.3,-0.21,0.18,0.04,0.07,0.09,0.4,0.29,-0.43,-0.64,-0.37,0.05,0.66,0.08,-0.45,-0.48,-0.47,-0.24,0.82,-0.07,-0.41,-0.29,-0.38,-0.22,0.14,-0.32,-0.17,-0.34,-0.17,0.05,1.35,0.1,0.19,-0.11,0.18,0.22
NIT2       : biological process unknown ,1,0.36,0.15,-0.14,-0.1,0.09,0.18,0.2,0.13,-0.38,-0.35,-0.27,-0.2,0.08,0.06,-0.01,-0.21,-0.15,-0.1,0.9,-0.03,-0.25,-0.12,-0.09,-0.05,-0.11,-0.3,-0.11,-0.06,-0.02,0.12,1.07,0.05,0.05,0.18,0.06,0.09
ARG82      : arginine metabolism* ,1,0.5,0.08,-0.11,0.05,0.1,0.04,0.28,0.11,0.08,-0.23,-0.28,-0.33,0.79,0.51,0.04,-0.1,-0.2,0.04,1.16,0.02,-0.13,-0.3,-0.14,-0.19,0.04,-0.03,-0.03,0.13,-0.03,0.19,0.8,-0.2,-0.03,0.23,-0.05,-0.05
MSO1       : sporulation (sensu Fungi)* ,1,0.08,-0.01,-0.15,0.02,-0.08,0.04,-0.39,-0.37,-0.21,-0.24,-0.21,-0.22,0.13,-0.01,0.03,-0.05,-0.18,-0.41,0.73,-0.37,-0.14,-0.18,0,-0.14,0.08,0.27,0.25,0.17,0.08,0.1,0.75,0.09,-0.03,0.04,-0.01,-0.09
STP1       : positive regulation of transcription from RNA polymerase II promoter* ,1,0.07,-0.12,0.16,-0.04,-0.18,-0.29,0.28,0.24,-0.2,-0.12,0.04,-0.18,0.06,0.15,0.11,0.06,0.05,-0.23,0.16,-0.24,-0.12,0.05,-0.06,-0.02,0.03,0.12,-0.09,-0.12,-0.25,-0.27,-0.22,0.22,0.04,-0.09,0.08,0
IFH1       : rRNA processing* ,1,0,-0.21,0.03,-0.08,0.06,0.05,-0.14,-0.02,0.1,0.42,0.16,-0.02,0.38,0.24,0.33,0.26,0.07,-0.12,-0.43,-0.07,0.16,0.25,0.32,0.21,0.31,0.35,0.23,0.15,0.09,0.16,-0.04,0.03,0.2,0.24,0.26,0.04
          : biological process unknown ,1,-0.11,0.07,0.07,0.1,0.12,-0.05,0.08,0.04,0.22,0.15,0.07,-0.07,0.1,0.08,-0.02,0.02,-0.13,0.18,-0.31,-0.03,-0.01,0.01,0.02,0.07,0.29,0.13,0.13,0.09,-0.02,-0.13,0.15,0.05,-0.04,0.07,0.08,-0.01
          :  ,1,0.52,-0.02,0.37,0.06,0.03,-0.18,-0.14,-0.3,0.55,0.23,0.09,-0.46,0.36,0.16,0,0.06,-0.54,-0.3,-0.5,0.7,0.24,0.18,0.07,0.09,0.15,0.62,0.45,0.37,-0.16,-0.46,0.52,-0.54,-0.46,-0.09,-0.47,-0.64
YCK3       : protein amino acid phosphorylation ,1,-0.24,0.28,0.29,0.09,0.15,-0.16,0.13,-0.01,0.08,-0.02,-0.21,0.16,-0.31,-0.07,0.09,0.15,0.25,-0.13,NA,0.28,-0.01,0.15,-0.1,0.07,-0.27,0.06,0.01,0.05,-0.23,-0.14,NA,-0.46,-0.17,-0.47,-0.07,0.11
